JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
Archives Animal Breeding,Copernicus Publications,Germany,No,Yes,DOI,1999,English,Peer review,Yes,13,CC BY,TRUE,Yes
Bothalia: African Biodiversity & Conservation,AOSIS,South Africa,No,NA,DOI,2014,English,Double blind peer review,Yes,12,CC BY,TRUE,Yes
Geographica Helvetica,Copernicus Publications,Germany,No,Yes,DOI,1946,"English, French, German, Italian",Double blind peer review,Yes,53,CC BY,TRUE,Yes
Hereditas,BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,6,CC BY,TRUE,Yes
Landtechnik,Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V.,Germany,No,NA,DOI,2015,"English, German",Blind peer review,NA,16,CC BY,TRUE,Yes
Onderstepoort Journal of Veterinary Research,AOSIS,South Africa,No,NA,DOI,2003,English,Double blind peer review,Yes,16,CC BY,TRUE,Yes
Phytopathologia Mediterranea,Firenze University Press,Italy,Yes,NA,DOI,2014,English,Peer review,NA,8,CC BY,TRUE,Yes
Psyche: A Journal of Entomology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1874,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Psychologica Belgica,Ubiquity Press,United Kingdom,Yes,NA,DOI,2004,English,Double blind peer review,Yes,4,CC BY,TRUE,Yes
South African Journal of Science,Academy of Science of South Africa,South Africa,No,NA,DOI,2009,English,Double blind peer review,Yes,52,CC BY,TRUE,Yes
Veritas,Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Brazil,No,NA,DOI,2005,"English, French, German, Italian, Latin, Portuguese, Spanish; Castilian",Double blind peer review,NA,10,CC BY,TRUE,Yes
Vojnotehnički Glasnik,University of Defence in Belgrade,Serbia,No,NA,DOI,2011,"English, Russian, Serbian",Double blind peer review,Yes,12,CC BY,TRUE,Yes
New Zealand Journal of Forestry Science,Springer,Germany,No,NA,DOI,2013,English,Blind peer review,Yes,39,CC BY,TRUE,Yes
Reumatismo,PAGEPress Publications,Italy,No,NA,DOI,2001,"English, Italian",Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Koedoe: African Protected Area Conservation and Science,AOSIS,South Africa,Yes,Yes,DOI,1958,English,Double blind peer review,Yes,20,CC BY,TRUE,Yes
Letras de Hoje,Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Brazil,No,NA,DOI,1974,"Portuguese, Spanish; Castilian",Double blind peer review,NA,10,CC BY,TRUE,Yes
Estudos Ibero Americanos,Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Brazil,No,NA,DOI,2004,"Portuguese, Spanish; Castilian",Double blind peer review,NA,10,CC BY,TRUE,Yes
Psicologia: Reflexão e Crítica,Springer,United Kingdom,Yes,Yes,DOI,1997,English,Blind peer review,Yes,24,CC BY,TRUE,Yes
Journal of the Brazilian Computer Society ,Springer,Germany,Yes,Yes,DOI,2014,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Memoria y Sociedad,Pontificia Universidad Javeriana,Colombia,No,NA,DOI,1995,"English, Portuguese, Spanish; Castilian",Peer review,Yes,16,CC BY,TRUE,Yes
Journal of Food Quality,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,23,CC BY,TRUE,Yes
Scanning,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
International Journal of Mathematics and Mathematical Sciences,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1978,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
BMGN: Low Countries Historical Review,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,1970,"Dutch; Flemish, English",Double blind peer review,NA,40,CC BY-NC,TRUE,Yes
Incontri: Rivista Europea di Studi Italiani,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,2011,"Dutch; Flemish, English, Italian",Double blind peer review,NA,30,CC BY,TRUE,Yes
Journal of Advanced Transportation,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Scientific Journal of Silesian University of Technology. Series Transport,Silesian University of Technology,Poland,No,NA,DOI,2008,"English, Polish",Double blind peer review,Yes,20,CC BY,TRUE,Yes
South African Journal of Science and Technology ,AOSIS,South Africa,No,NA,DOI,1982,Afrikaans,Double blind peer review,Yes,16,CC BY,TRUE,Yes
Literator,AOSIS,South Africa,No,NA,DOI,1980,"Afrikaans, English",Double blind peer review,Yes,12,CC BY,TRUE,Yes
SA Journal of Industrial Psychology,AOSIS,South Africa,Yes,Yes,DOI,2008,English,Double blind peer review,Yes,35,CC BY,TRUE,Yes
HTS Teologiese Studies/Theological Studies ,AOSIS,South Africa,Yes,Yes,DOI,1943,"Afrikaans, Dutch; Flemish, English",Double blind peer review,Yes,15,CC BY,TRUE,Yes
Disease Markers,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1993,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Nordlyd: Tromsø University Working Papers on Language & Linguistics,Septentrio Academic Publishing,Norway,No,NA,DOI,2003,"English, Norwegian",Double blind peer review,Yes,38,CC BY-NC,TRUE,Yes
Rangifer,Septentrio Academic Publishing,Norway,No,NA,DOI,2008,English,Peer review,Yes,22,CC BY,TRUE,Yes
